,non_circ,circ
842,104.0,474.0
843,106.0,436.0
844,105.0,530.0
845,101.0,493.0
846,109.0,665.0
847,109.0,757.0
848,104.0,742.0
849,104.0,256.0
850,99.0,571.0
851,103.0,459.0
852,104.0,418.0
853,105.0,243.0
854,104.0,425.0
855,104.0,147.0
856,101.0,787.0
857,104.0,501.0
858,104.0,231.0
859,105.0,637.0
860,95.0,796.0
861,102.0,524.0
862,107.0,422.0
863,107.0,625.0
864,104.0,1257.0
865,109.0,1724.0
866,103.0,362.0
867,104.0,209.0
868,107.0,191.0
869,107.0,323.0
870,108.0,883.0
871,107.0,327.0
872,107.0,569.0
873,99.0,291.0
874,104.0,553.0
875,107.0,177.0
876,108.0,288.0
877,107.0,272.0
878,103.0,327.0
879,105.0,386.0
880,112.0,304.0
881,103.0,230.0
882,103.0,467.0
883,104.0,1044.0
884,105.0,224.0
885,99.0,467.0
886,111.0,674.0
887,131.0,405.0
888,104.0,2485.0
889,74.0,586.0
890,107.0,401.0
891,107.0,683.0
892,107.0,1734.0
893,112.0,643.0
894,103.0,452.0
895,103.0,283.0
896,119.0,753.0
897,103.0,390.0
898,107.0,658.0
899,106.0,347.0
900,107.0,562.0
901,103.0,1113.0
902,107.0,755.0
903,107.0,1212.0
904,107.0,660.0
905,107.0,310.0
906,102.0,353.0
907,100.0,209.0
908,93.0,644.0
909,108.0,606.0
910,107.0,274.0
911,102.0,392.0
912,103.0,7621.0
913,107.0,324.0
914,107.0,226.0
915,105.0,496.0
916,103.0,1018.0
917,102.0,641.0
918,107.0,334.0
919,107.0,1034.0
920,107.0,386.0
921,152.0,636.0
922,100.0,853.0
923,102.0,167.0
924,115.0,1024.0
925,106.0,433.0
926,103.0,753.0
927,107.0,831.0
928,107.0,216.0
929,104.0,395.0
930,103.0,663.0
931,103.0,352.0
932,107.0,188.0
933,98.0,1218.0
934,102.0,1084.0
935,107.0,336.0
936,107.0,1425.0
937,116.0,418.0
938,103.0,580.0
939,117.0,341.0
940,101.0,394.0
941,107.0,551.0
942,100.0,663.0
943,107.0,540.0
944,105.0,970.0
945,91.0,243.0
946,99.0,189.0
947,107.0,313.0
948,103.0,329.0
949,105.0,777.0
950,89.0,870.0
951,101.0,378.0
952,104.0,463.0
953,107.0,538.0
954,107.0,1895.0
955,96.0,172.0
956,100.0,1245.0
957,107.0,903.0
958,101.0,1137.0
959,98.0,1216.0
960,107.0,4584.0
961,109.0,156.0
962,96.0,404.0
963,107.0,500.0
964,107.0,207.0
965,95.0,936.0
966,107.0,872.0
967,106.0,290.0
968,107.0,237.0
969,106.0,564.0
970,109.0,290.0
971,106.0,1056.0
972,107.0,659.0
973,98.0,390.0
974,108.0,337.0
975,107.0,663.0
976,114.0,676.0
977,107.0,1160.0
978,108.0,1038.0
979,102.0,392.0
980,102.0,541.0
981,114.0,824.0
982,107.0,170.0
983,104.0,370.0
984,69.0,363.0
985,107.0,173.0
986,102.0,365.0
987,108.0,773.0
988,95.0,737.0
989,103.0,1458.0
990,110.0,1374.0
991,100.0,415.0
992,108.0,808.0
993,107.0,404.0
994,101.0,751.0
995,103.0,105.0
996,100.0,431.0
997,114.0,911.0
998,106.0,313.0
999,105.0,531.0
1000,100.0,832.0
1001,100.0,394.0
1002,107.0,483.0
1003,107.0,1176.0
1004,103.0,436.0
1005,104.0,1657.0
1006,107.0,309.0
1007,97.0,467.0
1008,130.0,722.0
1009,107.0,394.0
1010,103.0,325.0
1011,102.0,478.0
1012,106.0,1905.0
1013,117.0,3215.0
1014,101.0,542.0
1015,96.0,484.0
1016,101.0,4878.0
1017,102.0,899.0
1018,102.0,4209.0
1019,107.0,975.0
1020,107.0,667.0
1021,81.0,991.0
1022,106.0,341.0
1023,104.0,210.0
1024,103.0,972.0
1025,106.0,433.0
1026,106.0,318.0
1027,106.0,1568.0
1028,104.0,421.0
1029,106.0,304.0
1030,99.0,426.0
1031,104.0,530.0
1032,107.0,469.0
1033,102.0,538.0
1034,110.0,571.0
1035,102.0,166.0
1036,104.0,299.0
1037,102.0,331.0
1038,102.0,517.0
1039,107.0,760.0
1040,109.0,2795.0
1041,104.0,1959.0
1042,100.0,1009.0
1043,104.0,425.0
1044,106.0,464.0
1045,103.0,663.0
1046,102.0,263.0
1047,101.0,223.0
1048,111.0,657.0
1049,107.0,1348.0
1050,108.0,1436.0
1051,103.0,227.0
1052,104.0,2061.0
1053,126.0,177.0
1054,109.0,313.0
1055,106.0,195.0
1056,104.0,282.0
1057,104.0,331.0
1058,107.0,405.0
1059,99.0,479.0
1060,85.0,548.0
1061,106.0,2134.0
1062,68.0,389.0
1063,107.0,1033.0
1064,102.0,188.0
1065,106.0,778.0
1066,107.0,604.0
1067,107.0,286.0
1068,103.0,393.0
1069,104.0,399.0
1070,104.0,2012.0
1071,103.0,1798.0
1072,107.0,589.0
1073,101.0,835.0
1074,104.0,272.0
1075,104.0,356.0
1076,100.0,6634.0
1077,101.0,1557.0
1078,109.0,347.0
1079,104.0,280.0
1080,107.0,378.0
1081,104.0,781.0
1082,105.0,1671.0
1083,104.0,289.0
1084,109.0,1127.0
1085,96.0,733.0
1086,103.0,1893.0
1087,107.0,3596.0
1088,104.0,1065.0
1089,103.0,1371.0
1090,107.0,826.0
1091,72.0,927.0
1092,107.0,11647.0
1093,104.0,346.0
1094,107.0,726.0
1095,108.0,887.0
1096,107.0,3753.0
1097,105.0,766.0
1098,107.0,751.0
1099,104.0,779.0
1100,103.0,205.0
1101,104.0,1395.0
1102,100.0,457.0
1103,107.0,815.0
1104,107.0,2390.0
1105,106.0,249.0
1106,103.0,547.0
1107,107.0,744.0
1108,104.0,604.0
1109,105.0,779.0
1110,103.0,1040.0
1111,112.0,2516.0
1112,107.0,171.0
1113,103.0,818.0
1114,71.0,856.0
1115,102.0,615.0
1116,59.0,1690.0
1117,107.0,532.0
1118,101.0,222.0
1119,100.0,633.0
1120,108.0,279.0
1121,104.0,1126.0
1122,92.0,854.0
1123,100.0,1400.0
1124,107.0,754.0
1125,107.0,274.0
1126,104.0,921.0
1127,109.0,919.0
1128,92.0,651.0
1129,107.0,385.0
1130,106.0,3382.0
1131,107.0,787.0
1132,107.0,574.0
1133,107.0,841.0
1134,109.0,6450.0
1135,107.0,363.0
1136,93.0,2697.0
1137,101.0,235.0
1138,102.0,500.0
1139,103.0,400.0
1140,104.0,402.0
1141,103.0,333.0
1142,61.0,528.0
1143,101.0,489.0
1144,108.0,12530.0
1145,104.0,465.0
1146,92.0,787.0
1147,110.0,187.0
1148,109.0,158.0
1149,103.0,583.0
1150,104.0,972.0
1151,91.0,397.0
1152,107.0,979.0
1153,99.0,375.0
1154,103.0,5728.0
1155,100.0,446.0
1156,107.0,4018.0
1157,107.0,1409.0
1158,105.0,189.0
1159,102.0,257.0
1160,106.0,501.0
1161,104.0,99.0
1162,104.0,885.0
1163,103.0,1918.0
1164,98.0,1178.0
1165,101.0,189.0
1166,106.0,1323.0
1167,99.0,451.0
1168,106.0,257.0
1169,104.0,195.0
1170,98.0,192.0
1171,102.0,735.0
1172,102.0,234.0
1173,106.0,331.0
1174,104.0,601.0
1175,109.0,853.0
1176,107.0,882.0
1177,107.0,377.0
1178,106.0,4448.0
1179,106.0,1319.0
1180,106.0,1162.0
1181,107.0,2804.0
1182,103.0,1063.0
1183,107.0,324.0
1184,107.0,211.0
1185,109.0,183.0
1186,107.0,308.0
1187,107.0,365.0
1188,88.0,2655.0
1189,107.0,573.0
1190,105.0,1838.0
1191,103.0,243.0
1192,105.0,236.0
1193,107.0,401.0
1194,105.0,469.0
1195,107.0,579.0
1196,107.0,392.0
1197,104.0,274.0
1198,108.0,680.0
1199,113.0,383.0
1200,107.0,2170.0
1201,107.0,1430.0
1202,107.0,306.0
1203,107.0,2939.0
1204,107.0,367.0
1205,107.0,383.0
1206,60.0,168.0
1207,111.0,616.0
1208,103.0,285.0
1209,111.0,515.0
1210,107.0,1170.0
1211,88.0,310.0
1212,105.0,409.0
1213,106.0,477.0
1214,107.0,371.0
1215,102.0,1174.0
1216,106.0,158.0
1217,107.0,1443.0
1218,107.0,792.0
1219,107.0,2289.0
1220,107.0,777.0
1221,104.0,4451.0
1222,105.0,543.0
1223,107.0,306.0
1224,102.0,149.0
1225,97.0,1599.0
1226,60.0,383.0
1227,103.0,1214.0
1228,105.0,4310.0
1229,95.0,590.0
1230,111.0,565.0
1231,107.0,651.0
1232,103.0,555.0
1233,103.0,212.0
1234,107.0,727.0
1235,107.0,4193.0
1236,99.0,2042.0
1237,98.0,978.0
1238,103.0,148.0
1239,103.0,2491.0
1240,93.0,401.0
1241,106.0,2442.0
1242,103.0,280.0
1243,109.0,55.0
1244,103.0,430.0
1245,91.0,1882.0
1246,104.0,182.0
1247,102.0,578.0
1248,107.0,243.0
1249,107.0,427.0
1250,93.0,859.0
1251,105.0,290.0
1252,104.0,225.0
1253,97.0,336.0
1254,107.0,424.0
1255,107.0,1127.0
1256,107.0,259.0
1257,105.0,666.0
1258,105.0,150.0
1259,95.0,281.0
1260,92.0,450.0
1261,97.0,549.0
1262,107.0,310.0
1263,108.0,839.0
1264,104.0,914.0
1265,107.0,722.0
1266,104.0,684.0
1267,104.0,718.0
1268,116.0,380.0
1269,107.0,1602.0
1270,93.0,1988.0
1271,89.0,551.0
1272,97.0,186.0
1273,108.0,214.0
1274,100.0,739.0
1275,102.0,195.0
1276,102.0,676.0
1277,107.0,498.0
1278,107.0,949.0
1279,68.0,873.0
1280,101.0,488.0
1281,107.0,684.0
1282,107.0,606.0
1283,104.0,930.0
1284,105.0,470.0
1285,96.0,1936.0
1286,104.0,405.0
1287,107.0,1903.0
1288,106.0,252.0
1289,107.0,1011.0
1290,104.0,2205.0
1291,113.0,6561.0
1292,106.0,713.0
1293,103.0,202.0
1294,106.0,475.0
1295,103.0,4203.0
1296,95.0,740.0
1297,73.0,594.0
1298,103.0,329.0
1299,107.0,131.0
1300,109.0,1510.0
1301,104.0,2612.0
1302,107.0,479.0
1303,106.0,287.0
1304,106.0,557.0
1305,105.0,262.0
1306,113.0,241.0
1307,106.0,932.0
1308,107.0,592.0
1309,103.0,624.0
1310,103.0,224.0
1311,106.0,455.0
1312,103.0,308.0
1313,104.0,1462.0
1314,102.0,453.0
1315,107.0,1155.0
1316,100.0,433.0
1317,97.0,123.0
1318,106.0,546.0
1319,104.0,394.0
1320,98.0,414.0
1321,103.0,280.0
1322,107.0,873.0
1323,99.0,1040.0
1324,107.0,1068.0
1325,107.0,2252.0
1326,105.0,861.0
1327,103.0,2076.0
1328,103.0,448.0
1329,106.0,340.0
1330,104.0,368.0
1331,100.0,1131.0
1332,107.0,592.0
1333,107.0,196.0
